,Price,Bedrooms,Bathrooms,Area,,,Type,Construction,Parking,Heating,HOA,Price_SQFT,Principal_Interest,Mortgage,Tax,Insurance,School,Ranking
56,499000,2,2,1250,"102-55 67th Dr #2K, Forest Hills, NY 11375",https://www.zillow.com/homedetails/102-55-67th-Dr-2K-Forest-Hills-NY-11375/89137580_zpid/,Condo,1959,0 spaces,Natural Gas,"$1,006 monthly",$399 ,"$1,817/mo",$0/mo,$349/mo,$175/mo,"-Ps 175 The Lynn Gross Discovery School,-Jhs 157 Stephen A Halsey,-Forest Hills High School,","0.7,0.9,0.5,"
57,560000,1,1,771,"108 Waverly Ave #1, Brooklyn, NY 11205",https://www.zillow.com/homedetails/108-Waverly-Ave-1-Brooklyn-NY-11205/116169991_zpid/,Cooperative,1905,None,No Data,$255 monthly,$726 ,"$2,039/mo",$0/mo,$303/mo,$196/mo,"-Ps 46 Edward C Blum,-Fort Green Preparatory Academy,-Benjamin Banneker Academy,","0.2,0.4,0.6,"
58,499000,2,1,1000,"112-20 72nd Dr APT B33, Forest Hills, NY 11375",https://www.zillow.com/homedetails/112-20-72nd-Dr-APT-B33-Forest-Hills-NY-11375/79735231_zpid/,Cooperative,1956,"Garage - Attached, Off-street, Covered","Other, Radiant, Wall, Gas",$928 monthly,$499 ,"$1,817/mo",$0/mo,$349/mo,$175/mo,"-Ps 196 Grand Central Parkway,-Jhs 157 Stephen A Halsey,-Hillcrest High School,","1.0,0.9,0.4,"
59,358888,1,1,925,"99-45 67th Rd #605, Forest Hills, NY 11375",https://www.zillow.com/homedetails/99-45-67th-Rd-605-Forest-Hills-NY-11375/121651109_zpid/,Cooperative,1941,"Garage - Attached, Covered",Radiant,$846 monthly,$388 ,"$1,306/mo",$0/mo,$251/mo,$126/mo,"-Ps 174 William Sidney Mount,-Jhs 190 Russell Sage,-Forest Hills High School,","0.8,0.7,0.5,"
60,265000,1,1,620,"52-15 65th Pl APT 3E, Maspeth, NY 11378",https://www.zillow.com/homedetails/52-15-65th-Pl-APT-3E-Maspeth-NY-11378/219855698_zpid/,Cooperative,1955,0 spaces,No Data,$587 monthly,$427 ,$963/mo,$0/mo,$186/mo,$93/mo,"-Ps 229 Emanuel Kaplan,-Is 73 The Frank Sansivieri Intermediate School,-Grover Cleveland H.S.,","0.7,0.9,0.3,"
61,325000,1,1,750,"6120 Grand Central Pkwy APT A1507, Forest Hills, NY 11375",https://www.zillow.com/homedetails/6120-Grand-Central-Pkwy-APT-A1507-Forest-Hills-NY-11375/2073756045_zpid/,Cooperative,1965,0 spaces,No Data,"$1,044 monthly",$433 ,"$1,181/mo",$0/mo,$228/mo,$114/mo,"-Ps 220 Edward Mandel,-Jhs 157 Stephen A Halsey,-Forest Hills High School,","0.6,0.9,0.5,"
62,950000,2,1,875,"13 W 13th St APT 3CS, New York, NY 10011",https://www.zillow.com/homedetails/13-W-13th-St-APT-3CS-New-York-NY-10011/72513571_zpid/,MultiFamily,1962,0 spaces,No Data,"$2,244 monthly","$1,086 ","$3,239/mo",$0/mo,$697/mo,$333/mo,"-P.S. 41 Greenwich Village,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","0.9,0.3,0.9,"
63,1080000,4,4,2080,"1134 Williams Ct, Brooklyn, NY 11235",https://www.zillow.com/homedetails/1134-Williams-Ct-Brooklyn-NY-11235/30749606_zpid/,Cooperative,1930,0 spaces,"Other, Gas",$519 ,,"$3,661/mo",$0/mo,$585/mo,$378/mo,"-Ps 209 Margaret Mead,-Abraham Lincoln High School,","0.9,0.4,"
64,499000,2,2,1200,"114-06 Queens Blvd #F2, Forest Hills, NY 11375",https://www.zillow.com/homedetails/114-06-Queens-Blvd-F2-Forest-Hills-NY-11375/113974765_zpid/,Condo,1939,0 spaces,No Data,"$1,203 monthly",$416 ,"$1,813/mo",$0/mo,$349/mo,$175/mo,"-Ps 101 School In The Gardens,-Jhs 190 Russell Sage,-Hillcrest High School,","0.9,0.7,0.4,"
65,698000,2,2,836,"141-18 Cherry Ave #3FPC4, Flushing, NY 11355",https://www.zillow.com/homedetails/141-18-Cherry-Ave-3FPC4-Flushing-NY-11355/2073755302_zpid/,Condo,2011,0 spaces,No Data,$255 monthly,$835 ,"$2,380/mo",$0/mo,$489/mo,$244/mo,"-Ps 24 Andrew Jackson,-Is 237,-John Bowne High School,","0.9,0.8,0.3,"
66,1225000,1,1,715,"1 Irving Pl APT G24A, New York, NY 10003",https://www.zillow.com/homedetails/1-Irving-Pl-APT-G24A-New-York-NY-10003/31505927_zpid/,Condo,1988,Garage - Attached,No Data,$948 monthly,"$1,713 ","$4,153/mo",$0/mo,$898/mo,$429/mo,"-Ps 15 Roberto Clemente,-East Side Community School,","0.9,0.6,"
